Exposure,Outcome,G_hat
ENSG00000053372,ENSG00000100316,0.1027337908238226
ENSG00000173436,ENSG00000113013,0.05364320091331757
ENSG00000173436,ENSG00000147604,-0.015324374688354358
ENSG00000173436,ENSG00000171314,0.03435506172334372
ENSG00000173436,ENSG00000125691,0.029397465317291333
ENSG00000173436,ENSG00000142534,-0.05057927647695624
ENSG00000173436,ENSG00000198034,-0.016133304233607287
ENSG00000244038,ENSG00000143742,0.02932762401979078
ENSG00000244038,ENSG00000144381,-0.021436322777095843
ENSG00000244038,ENSG00000171314,0.06526341581240916
ENSG00000244038,ENSG00000254772,-0.04113374621801029
ENSG00000244038,ENSG00000130816,-0.03186796475219776
ENSG00000244038,ENSG00000169021,0.024923600109469493
ENSG00000004487,ENSG00000133226,0.13529550081464764
ENSG00000004487,ENSG00000162511,-0.056078479545878704
ENSG00000004487,ENSG00000122406,0.2231595178703271
ENSG00000004487,ENSG00000071082,-0.04899711145148254
ENSG00000004487,ENSG00000114686,-0.0406756427786226
ENSG00000004487,ENSG00000174953,0.47591839690267673
ENSG00000004487,ENSG00000174780,0.08055864870312733
ENSG00000004487,ENSG00000113407,-0.024649998996054617
ENSG00000004487,ENSG00000198755,0.255333015229827
ENSG00000004487,ENSG00000124767,0.08564832770453341
ENSG00000004487,ENSG00000112118,-0.11621199765593254
ENSG00000004487,ENSG00000106028,-0.03810139947151909
ENSG00000004487,ENSG00000147677,-0.02241464447651317
ENSG00000004487,ENSG00000161016,-0.024739016516473738
ENSG00000004487,ENSG00000137154,0.016190498956871305
ENSG00000004487,ENSG00000136930,0.09121559823181431
ENSG00000004487,ENSG00000180817,-0.08135365622586424
ENSG00000004487,ENSG00000107581,-0.0475967373820634
ENSG00000004487,ENSG00000185201,-0.024793235708597778
ENSG00000004487,ENSG00000110321,-0.052532359497199275
ENSG00000004487,ENSG00000110492,0.3451849944686534
ENSG00000004487,ENSG00000167996,0.9699137083828129
ENSG00000004487,ENSG00000254772,0.08015641445484599
ENSG00000004487,ENSG00000123416,-0.16594776851886178
ENSG00000004487,ENSG00000170515,-0.02557719144240856
ENSG00000004487,ENSG00000111615,-0.018621819678662013
ENSG00000004487,ENSG00000111142,0.0243433811800942
ENSG00000004487,ENSG00000139726,-0.10857077546426715
ENSG00000004487,ENSG00000139697,-0.044528619678825036
ENSG00000004487,ENSG00000123200,-0.0633704400740748
ENSG00000004487,ENSG00000134884,-0.15099337862259493
ENSG00000004487,ENSG00000198176,-0.08393045851674627
ENSG00000004487,ENSG00000092199,-0.023725509580264877
ENSG00000004487,ENSG00000129562,0.06183890723489587
ENSG00000004487,ENSG00000129515,0.07648905481202863
ENSG00000004487,ENSG00000100664,0.09944315249077146
ENSG00000004487,ENSG00000197471,-0.1847483980652353
ENSG00000004487,ENSG00000198242,-0.11102866400278902
ENSG00000004487,ENSG00000108298,-0.03024833714783623
ENSG00000004487,ENSG00000108654,-0.033017248840056725
ENSG00000004487,ENSG00000172809,-0.12094464329931899
ENSG00000004487,ENSG00000167658,0.027366500634094695
ENSG00000004487,ENSG00000130255,0.0457217876222913
ENSG00000004487,ENSG00000233927,-0.14657062678150082
ENSG00000004487,ENSG00000130816,-0.09112232083030952
ENSG00000004487,ENSG00000130203,-0.03652784468332691
ENSG00000004487,ENSG00000130208,-0.030073269214090627
ENSG00000004487,ENSG00000087460,0.10644683440115187
ENSG00000004487,ENSG00000070010,0.17099773500409815
ENSG00000004487,ENSG00000128185,0.020938961909560003
ENSG00000004487,ENSG00000185651,0.07253510325009573
ENSG00000004487,ENSG00000185686,0.0739449242255463
ENSG00000004487,ENSG00000173674,-0.015526602374087926
ENSG00000004487,ENSG00000198034,0.058201577600748684
ENSG00000125944,ENSG00000133226,-0.02460995424124115
ENSG00000125944,ENSG00000111142,0.02463525593892304
ENSG00000125944,ENSG00000126756,-0.019510633087345557
ENSG00000142676,ENSG00000133226,0.016719824544893944
ENSG00000142676,ENSG00000142684,0.019586433095519936
ENSG00000142676,ENSG00000121774,-0.020004594541655162
ENSG00000142676,ENSG00000159352,-0.042862218736854994
ENSG00000142676,ENSG00000177954,-0.025885423203872382
ENSG00000142676,ENSG00000117724,-0.0407569603656296
ENSG00000142676,ENSG00000071082,0.03508482816080781
ENSG00000142676,ENSG00000197756,0.025808215844804052
ENSG00000142676,ENSG00000144713,0.04333128294322087
ENSG00000142676,ENSG00000188846,0.03563937774061133
ENSG00000142676,ENSG00000173473,-0.05974653957441105
ENSG00000142676,ENSG00000114391,0.07324730078275142
ENSG00000142676,ENSG00000114686,-0.026997075926043796
ENSG00000142676,ENSG00000163682,0.045263838527383846
ENSG00000142676,ENSG00000163319,-0.02967732150426773
ENSG00000142676,ENSG00000145425,0.04040680319335702
ENSG00000142676,ENSG00000164587,0.05434458272597386
ENSG00000142676,ENSG00000204435,-0.017621687425156712
ENSG00000142676,ENSG00000196683,0.01563944802211981
ENSG00000142676,ENSG00000106355,0.035282081058728904
ENSG00000142676,ENSG00000147604,0.06849940243689037
ENSG00000142676,ENSG00000156482,0.036678361740297274
ENSG00000142676,ENSG00000104408,0.017019724237592054
ENSG00000142676,ENSG00000161016,0.04662227970716792
ENSG00000142676,ENSG00000136942,0.03527061153462098
ENSG00000142676,ENSG00000165732,0.028184042758073576
ENSG00000142676,ENSG00000138326,0.08689395273546978
ENSG00000142676,ENSG00000149136,-0.04926053646355563
ENSG00000142676,ENSG00000254772,0.01988585226922819
ENSG00000142676,ENSG00000175550,-0.022901504322163365
ENSG00000142676,ENSG00000111615,0.023661444603049586
ENSG00000142676,ENSG00000139697,0.015165591067625259
ENSG00000142676,ENSG00000122026,0.0478667820091399
ENSG00000142676,ENSG00000120686,-0.026362212563278253
ENSG00000142676,ENSG00000123200,-0.043099220086918744
ENSG00000142676,ENSG00000100664,-0.017226770562500434
ENSG00000142676,ENSG00000174444,0.026383326170687477
ENSG00000142676,ENSG00000182774,0.048812317451187574
ENSG00000142676,ENSG00000134419,0.0415398656116035
ENSG00000142676,ENSG00000167526,0.019731777296507245
ENSG00000142676,ENSG00000161970,0.026767135609582368
ENSG00000142676,ENSG00000275700,0.033673879844117315
ENSG00000142676,ENSG00000108298,0.06225038549504554
ENSG00000142676,ENSG00000108654,-0.017432236800089276
ENSG00000142676,ENSG00000172809,0.026903832550816725
ENSG00000142676,ENSG00000101557,-0.021335802189566662
ENSG00000142676,ENSG00000130255,0.21184200790555505
ENSG00000142676,ENSG00000130203,0.045993123402996376
ENSG00000142676,ENSG00000142534,0.01828355269441139
ENSG00000142676,ENSG00000108107,0.04206377662848427
ENSG00000142676,ENSG00000160213,0.022307448833117423
ENSG00000142676,ENSG00000185608,0.019754333422281375
ENSG00000142676,ENSG00000184058,-0.019025022595256163
ENSG00000142676,ENSG00000072501,-0.018943679000463277
ENSG00000142676,ENSG00000086758,-0.019930480650690967
ENSG00000142676,ENSG00000147065,-0.017997157073444677
ENSG00000142676,ENSG00000198034,0.033347229915488545
ENSG00000142676,ENSG00000198918,0.04144506942051664
ENSG00000188529,ENSG00000160075,0.0214038470566111
ENSG00000188529,ENSG00000133226,0.08410601549522949
ENSG00000188529,ENSG00000187514,0.02529603979880409
ENSG00000188529,ENSG00000144713,-0.05219245740665285
ENSG00000188529,ENSG00000188846,-0.03734950155578893
ENSG00000188529,ENSG00000114779,-0.016223314631869108
ENSG00000188529,ENSG00000114686,-0.06901965459446621
ENSG00000188529,ENSG00000136527,0.026951264839010523
ENSG00000188529,ENSG00000152795,0.023231128469123067
ENSG00000188529,ENSG00000112473,0.026476175667985817
ENSG00000188529,ENSG00000112667,-0.028158991002367992
ENSG00000188529,ENSG00000029363,0.07017290674402506
ENSG00000188529,ENSG00000122566,-0.049252494185388004
ENSG00000188529,ENSG00000188186,-0.025003690128598176
ENSG00000188529,ENSG00000106028,0.08184491387075328
ENSG00000188529,ENSG00000147465,-0.03143556023014197
ENSG00000188529,ENSG00000120533,0.03212097174701281
ENSG00000188529,ENSG00000106803,0.028646476145942294
ENSG00000188529,ENSG00000197958,-0.03228721444340701
ENSG00000188529,ENSG00000054148,0.032590248618871394
